<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20011120,10779.58,10779.58,10555.44,10575.62,0
20011121,10530.29,10789.18,10490.60,10661.08,0
20011122,10617.44,10702.34,10529.21,10696.82,0
20011126,10797.12,11067.92,10797.12,11064.30,0
20011127,11012.85,11186.75,10948.89,10948.89,0
20011128,10862.24,10900.31,10624.81,10624.81,0
20011129,10607.45,10668.73,10512.66,10655.96,0
20011130,10659.87,10697.90,10550.66,10697.44,0
20011203,10694.65,10695.04,10370.62,10370.62,0
20011204,10414.94,10478.47,10326.52,10452.65,0
20011205,10549.39,10724.64,10523.22,10713.81,0
20011206,10830.86,11052.51,10813.79,10857.28,0
20011207,10833.30,10918.19,10762.97,10796.89,0
20011210,10736.12,10738.39,10571.01,10571.01,0
20011211,10523.86,10606.92,10467.61,10473.91,0
20011212,10490.07,10821.13,10490.07,10801.52,0
20011213,10721.61,10731.81,10433.45,10433.45,0
20011214,10465.23,10603.71,10379.59,10511.65,0
20011217,10482.40,10484.38,10302.97,10323.35,0
20011218,10422.16,10582.07,10330.58,10432.17,0
20011219,10393.04,10500.44,10347.18,10471.93,0
20011220,10485.80,10501.98,10346.40,10434.52,0
20011221,10394.73,10418.59,10253.72,10335.45,0
20011225,10359.22,10359.22,10178.87,10254.81,0
20011226,10273.05,10300.63,10170.90,10192.57,0
20011227,10213.32,10457.61,10176.31,10457.61,0
20011228,10498.80,10571.75,10427.62,10542.62,0
20020104,10631.00,10871.49,10617.08,10871.49,0
20020107,10803.45,10979.92,10803.45,10942.36,0
20020108,10841.97,10843.26,10662.25,10695.60,0
20020109,10661.25,10747.60,10638.43,10663.98,0
20020110,10652.17,10710.48,10494.35,10538.43,0
20020111,10536.25,10571.50,10441.59,10441.59,0
20020115,10359.44,10359.44,10208.05,10208.05,0
20020116,10172.16,10269.03,10096.34,10177.58,0
20020117,10184.95,10257.45,10074.45,10128.18,0
20020118,10165.16,10296.79,10151.43,10293.32,0
20020121,10252.43,10393.56,10169.80,10280.25,0
20020122,10225.52,10280.30,10050.98,10050.98,0
20020123,10063.92,10154.82,10040.91,10040.91,0
20020124,10089.25,10240.39,10012.80,10074.05,0
20020125,10133.59,10149.87,10017.48,10144.14,0
20020128,10190.28,10303.74,10156.19,10220.85,0
20020129,10191.75,10191.75,10026.03,10026.03,0
20020130,9921.73,9938.33,9843.12,9919.48,0
20020131,9962.35,10012.15,9896.84,9997.80,0
20020201,10026.96,10032.25,9735.05,9791.43,0
20020204,9808.82,9808.82,9623.99,9631.93,0
20020205,9577.17,9683.93,9473.46,9475.60,0
20020206,9494.62,9602.52,9420.85,9420.85,0
20020207,9481.09,9634.79,9458.70,9583.27,0
20020208,9564.75,9753.75,9538.45,9686.06,0
20020212,9816.96,9949.73,9816.96,9877.99,0
20020213,9901.89,10039.25,9865.75,9968.35,0
20020214,10014.18,10235.38,10014.18,10081.09,0
20020215,10098.23,10152.00,10025.55,10048.10,0
20020218,10021.55,10119.21,9980.89,10093.25,0
20020219,10113.69,10129.34,9847.16,9847.16,0
20020220,9783.16,9901.24,9773.95,9834.13,0
20020221,9913.85,10295.42,9895.45,10295.42,0
20020222,10219.85,10418.64,10165.72,10356.78,0
20020225,10394.73,10446.28,10289.83,10296.47,0
20020226,10405.46,10458.87,10183.52,10202.63,0
20020227,10268.87,10573.09,10268.87,10573.09,0
20020228,10634.93,10798.67,10587.83,10587.83,0
20020301,10641.36,10813.45,10540.31,10812.00,0
20020304,10942.50,11450.22,10941.36,11450.22,0
20020305,11529.21,11602.75,11348.45,11348.45,0
20020306,11375.87,11648.38,11358.53,11358.53,0
20020307,11473.63,11690.36,11472.88,11648.34,0
20020308,11710.20,12010.25,11634.31,11885.79,0
20020311,11941.92,12034.04,11772.86,11919.30,0
20020312,11863.71,11912.29,11607.33,11607.33,0
20020313,11548.24,11774.18,11415.31,11415.31,0
20020314,11471.83,11568.82,11347.25,11568.82,0
20020315,11594.87,11709.44,11537.89,11648.01,0
20020318,11745.81,11789.46,11477.68,11498.38,0
20020319,11597.86,11792.82,11597.86,11792.82,0
20020320,11833.97,11833.97,11503.79,11526.78,0
20020322,11460.95,11519.68,11326.22,11345.08,0
20020325,11339.06,11378.78,11166.92,11261.09,0
20020326,11214.25,11524.23,11165.00,11207.92,0
20020327,11251.70,11421.01,11190.39,11323.68,0
20020328,11313.56,11348.22,11240.99,11333.11,0
20020329,11350.35,11389.60,11024.94,11024.94,0
20020401,11106.07,11148.50,11007.63,11028.70,0
20020402,11142.83,11217.24,11049.85,11204.49,0
20020403,11103.72,11476.94,11042.25,11400.71,0
20020404,11430.25,11537.13,11336.20,11379.20,0
20020405,11366.40,11412.99,11301.95,11335.49,0
20020408,11321.28,11430.03,11265.18,11352.89,0
20020409,11337.49,11363.20,11113.08,11114.49,0
20020410,11089.13,11293.17,11052.70,11218.58,0
20020411,11291.38,11320.67,11147.27,11147.27,0
20020412,11069.84,11122.77,10896.12,10962.98,0
20020415,11013.67,11138.70,10941.81,11137.30,0
20020416,11160.91,11346.66,11141.27,11346.66,0
20020417,11422.75,11544.83,11403.79,11543.71,0
20020418,11499.78,11635.98,11485.09,11575.73,0
20020419,11488.50,11525.88,11386.72,11512.01,0
20020422,11555.08,11765.05,11555.08,11721.64,0
20020423,11633.18,11812.99,11576.71,11736.83,0
20020424,11749.32,11808.25,11663.71,11672.88,0
20020425,11691.73,11708.01,11583.07,11648.72,0
20020426,11681.80,11685.08,11464.59,11541.39,0
20020430,11532.57,11548.78,11440.66,11492.54,0
20020501,11540.09,11591.49,11528.29,11552.79,0
20020502,11609.69,11609.69,11518.57,11551.01,0
20020507,11500.13,11508.58,11250.86,11316.04,0
20020508,11356.54,11581.41,11356.54,11520.75,0
20020509,11633.80,11727.52,11620.52,11633.30,0
20020510,11534.73,11587.43,11523.84,11531.11,0
20020513,11473.93,11473.93,11309.48,11336.95,0
20020514,11451.60,11507.66,11336.81,11356.19,0
20020515,11486.06,11693.91,11486.06,11642.97,0
20020516,11671.42,11747.35,11579.12,11738.69,0
20020517,11820.33,11926.90,11817.65,11847.32,0
20020520,11887.80,11942.91,11836.22,11856.54,0
20020521,11803.74,11824.73,11765.21,11801.16,0
20020522,11767.57,11963.23,11767.00,11961.98,0
20020523,12001.28,12019.86,11936.87,11979.85,0
20020524,12013.35,12023.42,11842.80,11976.28,0
20020527,11975.33,12081.43,11952.68,11976.35,0
20020528,11941.97,11950.28,11889.56,11936.08,0
20020529,11837.27,11887.73,11796.59,11853.00,0
20020530,11804.46,11812.59,11680.58,11770.03,0
20020531,11780.49,11911.91,11743.99,11763.70,0
20020603,11804.04,11905.16,11796.45,11901.39,0
20020604,11854.51,11874.30,11624.39,11653.07,0
20020605,11703.82,11769.40,11654.12,11663.87,0
20020606,11700.13,11743.89,11540.32,11574.94,0
20020607,11467.03,11467.03,11365.61,11438.53,0
20020610,11470.92,11522.04,11370.21,11370.21,387837600
20020611,11390.41,11514.53,11390.41,11449.44,395610200
20020612,11392.32,11405.29,11261.93,11327.06,427608000
20020613,11366.06,11396.28,11132.59,11144.84,464889200
20020614,11121.89,11127.16,10911.07,10920.63,1128034000
20020617,10858.05,10888.04,10577.89,10664.11,564320000
20020618,10799.43,10884.26,10747.68,10839.93,481418000
20020619,10757.03,10771.60,10448.70,10476.18,579618400
20020620,10467.22,10629.44,10325.55,10612.98,601852000
20020621,10489.78,10489.78,10327.91,10354.35,457947200
20020624,10255.99,10490.87,10169.07,10471.32,526313200
20020625,10463.97,10580.49,10404.22,10496.67,522084600
20020626,10376.29,10376.29,10060.72,10074.56,513651000
20020627,10182.12,10335.97,10176.18,10261.60,424463800
20020628,10390.53,10621.84,10366.47,10621.84,489978400
20020701,10655.00,10677.10,10541.22,10595.44,438658400
20020702,10516.66,10622.32,10371.26,10622.32,449126600
20020703,10521.64,10862.69,10495.67,10812.30,594448800
20020704,10752.34,10791.22,10625.92,10632.81,493688400
20020705,10701.37,10885.83,10701.37,10826.09,502188000
20020708,10969.21,11050.69,10760.10,10769.20,558547800
20020709,10836.19,10960.25,10770.99,10960.25,480981600
20020710,10865.93,10975.72,10752.66,10752.66,448201800
20020711,10647.59,10647.59,10457.07,10485.74,455178000
20020712,10608.63,10694.41,10570.00,10601.45,530861200
20020715,10548.21,10548.21,10373.29,10375.15,374059000
20020716,10313.21,10503.04,10250.42,10250.42,503632200
20020717,10256.39,10328.01,10113.61,10296.02,528231600
20020718,10366.95,10513.99,10340.31,10498.26,514417200
20020719,10421.53,10421.53,10174.68,10202.36,435193400
20020722,10076.30,10295.71,9982.24,10189.01,447048200
20020723,10102.46,10268.05,10003.81,10215.63,495785200
20020724,10134.88,10142.90,9901.09,9947.72,538825600
20020725,10079.98,10166.68,9911.13,9929.91,514695200
20020726,9868.33,9868.33,9547.85,9591.03,578064000
20020729,9654.13,9852.80,9636.69,9666.67,498883000
20020730,9801.09,10013.99,9791.45,10003.72,544350600
20020731,9964.75,9965.02,9831.59,9877.94,480490400
20020801,9912.59,9912.59,9738.23,9793.51,493524600
20020802,9716.71,9791.94,9633.83,9709.66,539051000
20020805,9637.31,9775.93,9636.92,9704.93,557791200
20020806,9622.52,9623.16,9439.41,9501.02,630054400
20020807,9637.24,9875.33,9636.54,9834.40,539977600
20020808,9844.70,9941.01,9740.43,9799.57,473644200
20020809,9871.77,10043.30,9856.86,9999.79,531142800
20020812,9931.82,9931.82,9747.82,9747.82,346130000
20020813,9671.33,9795.95,9644.14,9688.61,332842800
20020814,9642.03,9681.84,9618.87,9638.41,355714000
20020815,9740.20,9851.68,9740.20,9795.57,404492400
20020816,9859.17,9883.65,9727.88,9788.13,341109400
20020819,9773.38,9773.38,9499.51,9599.10,383241400
20020820,9696.43,9743.10,9585.67,9620.69,415972400
20020821,9540.71,9706.69,9523.86,9642.61,412661600
20020822,9650.54,9851.89,9551.14,9814.02,529763000
20020823,9894.80,9979.88,9863.84,9867.45,544396800
20020826,9811.84,10162.30,9797.04,10067.74,512197600
20020827,10001.44,10067.25,9899.24,9907.30,384928800
20020828,9921.08,9953.40,9745.31,9766.73,387014200
20020829,9681.41,9697.55,9558.68,9620.14,390558800
20020830,9646.78,9677.57,9524.78,9619.30,366890800
20020902,9564.90,9565.08,9487.89,9521.63,326847800
20020903,9449.20,9472.56,9217.04,9217.04,510067400
20020904,9122.70,9159.06,8995.20,9075.09,624809200
20020905,9147.66,9290.40,9075.70,9222.12,517238400
20020906,9108.60,9150.45,8969.26,9129.07,510023400
20020909,9221.50,9353.44,9221.50,9306.26,417316000
20020910,9354.89,9455.85,9274.46,9309.31,455690200
20020911,9384.18,9432.44,9353.18,9400.08,404387600
20020912,9359.13,9440.54,9251.46,9415.23,398403600
20020913,9298.90,9305.69,9156.79,9241.93,1118312800
20020917,9349.38,9577.42,9349.38,9543.94,486859200
20020918,9431.88,9521.58,9257.86,9472.06,547574400
20020919,9606.78,9884.60,9606.78,9669.62,827962000
20020920,9566.16,9672.82,9448.32,9481.08,478701200
20020924,9396.42,9396.42,9188.29,9321.64,546891800
20020925,9212.63,9349.24,9106.45,9165.41,437237000
20020926,9264.97,9386.96,9264.97,9320.92,415439200
20020927,9415.74,9572.37,9415.74,9530.44,582292200
20020930,9421.25,9470.71,9315.25,9383.29,407879400
20021001,9289.53,9289.53,9143.28,9162.26,442816800
20021002,9252.29,9293.86,9049.33,9049.33,415330400
20021003,9057.98,9087.96,8927.57,8936.43,574866000
20021004,8899.77,9027.55,8860.65,9027.55,621473800
20021007,8920.74,8920.74,8650.36,8688.00,608972800
20021008,8712.22,8798.94,8674.48,8708.90,543959400
20021009,8649.06,8651.66,8498.46,8539.34,538685200
20021010,8468.03,8487.59,8197.22,8439.62,619958000
20021011,8512.57,8611.40,8483.49,8529.61,564830200
20021015,8641.66,8871.44,8641.66,8836.73,466605600
20021016,8934.07,8974.79,8826.42,8884.87,485844600
20021017,8894.13,9038.43,8894.13,8959.88,361571000
20021018,9055.93,9134.80,9055.93,9086.13,475214800
20021021,9108.51,9116.52,8948.33,8978.41,360508800
20021022,8969.51,8969.51,8689.39,8689.39,444839200
20021023,8623.87,8758.67,8499.49,8714.52,515509600
20021024,8724.70,8735.62,8549.48,8614.30,448206200
